eid,b1_mctype,b2_mctype,b1tau_mctype,b2tau_mctype
409,Had,Dstarl,NoTau,NoTau
410,Had,Dstarl,NoTau,NoTau
411,Dstarl,Dstarl,NoTau,NoTau
412,Dstarl,Dstarl,NoTau,NoTau
413,Dstarl,Dstarstar_res,NoTau,NoTau
414,Dstarstar_nonres,Dstartau,NoTau,tau_h
415,Dstarstar_nonres,Dstarstar_res,NoTau,NoTau
416,Dl,Dstarstar_res,NoTau,NoTau
417,Had,Dstarl,NoTau,NoTau
418,Dstarl,Dl,NoTau,NoTau
419,Dstarl,Had,NoTau,NoTau
420,Dstarstar_res,Dstarl,NoTau,NoTau
421,Had,Dstarstar_res,NoTau,NoTau
422,Had,Had,NoTau,NoTau
423,Had,Dstartau,NoTau,tau_h
424,Had,Dstarstar_res,NoTau,NoTau
425,Dstarl,Had,NoTau,NoTau
426,Had,Had,NoTau,NoTau
427,Dstarstar_res,Dstarl,NoTau,NoTau
428,Dstarl,Dstarstar_res,NoTau,NoTau
429,Dl,Had,NoTau,NoTau
430,Dstarl,Had,NoTau,NoTau
431,Had,Dl,NoTau,NoTau
432,Had,Dstarl,NoTau,NoTau
433,Had,Dstartau,NoTau,tau_mu
434,Had,Dstarl,NoTau,NoTau
435,Dstarstar_res,Had,NoTau,NoTau
436,Dstarl,Dl,NoTau,NoTau
437,Dstarl,Dstarstar_res,NoTau,NoTau
438,Dl,Dstarl,NoTau,NoTau
439,Dstarstar_res,Had,NoTau,NoTau
440,Dstarl,Dstarl,NoTau,NoTau
441,Dl,Had,NoTau,NoTau
442,Dstarl,Had,NoTau,NoTau
443,Had,Had,NoTau,NoTau
444,Had,Dtau,NoTau,tau_h
445,Dstarl,Dstarstar_nonres,NoTau,NoTau
446,Dstarl,Dstarstar_res,NoTau,NoTau
447,Had,Dstarl,NoTau,NoTau
448,Had,Had,NoTau,NoTau
449,Dstarl,Dl,NoTau,NoTau
450,Dstarl,Had,NoTau,NoTau
451,Had,Dstarstar_res,NoTau,NoTau
452,Dstarstar_res,Dstarl,NoTau,NoTau
453,Dstarl,Dstarstar_res,NoTau,NoTau
454,Dstarstar_nonres,Dstarstar_res,NoTau,NoTau
455,Had,Dstarl,NoTau,NoTau
456,Dstarl,Dstarl,NoTau,NoTau
457,Had,Dstarstar_res,NoTau,NoTau
458,Dstarl,Dstarstar_res,NoTau,NoTau
459,Had,Dstarstar_res,NoTau,NoTau
460,Dstarstar_res,Had,NoTau,NoTau
461,Had,Dstarstar_res,NoTau,NoTau
462,Had,Dstarl,NoTau,NoTau
463,Dl,Dstarstar_res,NoTau,NoTau
464,Dl,Dstarl,NoTau,NoTau
465,Dstarl,Had,NoTau,NoTau
466,Dstarstar_res,Dstarstar_res,NoTau,NoTau
467,Dl,Dstarl,NoTau,NoTau
468,Dstarl,Had,NoTau,NoTau
469,Had,Dstarstar_res,NoTau,NoTau
470,Dstarl,Had,NoTau,NoTau
471,Dstarstar_res,Dstarl,NoTau,NoTau
472,Dstarl,Had,NoTau,NoTau
473,Dstarl,Had,NoTau,NoTau
474,Had,Dstarstar_nonres,NoTau,NoTau
475,Dl,Had,NoTau,NoTau
476,Dl,Had,NoTau,NoTau
477,Dstarl,Dstarstar_res,NoTau,NoTau
478,Dstarl,Dl,NoTau,NoTau
479,Had,Dstarstar_res,NoTau,NoTau
480,Had,Dstarstar_nonres,NoTau,NoTau
481,Had,Dstarstar_res,NoTau,NoTau
482,Had,Dl,NoTau,NoTau
483,Dstarl,Dstarl,NoTau,NoTau
484,Had,Had,NoTau,NoTau
485,Dstarl,Dstarl,NoTau,NoTau
